square_item_name,square_item_variant,square_item_modifier,jurnal_item_name
Affogato / Coffee Sundae,Regular,,Affogato
Air Mineral Botol,Regular,,Air Mineral
Americano (Gojek),Regular,,Americano (Gojek)
Ayam Geprek,Regular,,Ayam Geprek
Ayam Geprek Tanpa Nasi,Regular,,Ayam Geprek Tanpa Nasi
Bali Kintamani FW 150 Gr,Regular,,Bali Kintamani Full Wash 150 Gr
Black Coffee,Arabica Standard,Tubruk,Black Coffee Arabica Standard Tubruk
Black Coffee,Arabica Standard,V60,Black Coffee Arabica Standard Saring
Black Coffee,Arabica Standard,Aeropress,Black Coffee Arabica Standard Saring
Black Coffee,Arabica Standard,Kalita,Black Coffee Arabica Standard Saring
Black Coffee,Arabica Standard,Vietnam Drip,Black Coffee Arabica Standard Saring
Black Coffee,Arabica Standard,French Press,Black Coffee Arabica Standard Saring
Black Coffee,Arabica Standard,BB Drip,Black Coffee Arabica Standard Saring
Black Coffee,Arabica Premium,Tubruk,Black Coffee Arabica Premium Tubruk
Black Coffee,Arabica Premium,V60,Black Coffee Arabica Premium Saring
Black Coffee,Arabica Premium,Aeropress,Black Coffee Arabica Premium Saring
Black Coffee,Arabica Premium,Kalita,Black Coffee Arabica Premium Saring
Black Coffee,Arabica Premium,Vietnam Drip,Black Coffee Arabica Premium Saring
Black Coffee,Arabica Premium,French Press,Black Coffee Arabica Premium Saring
Black Coffee,Arabica Premium,BB Drip,Black Coffee Arabica Premium Saring
Black Coffee,Robusta Standard,Tubruk,Black Coffee Robusta Standard Tubruk
Black Coffee,Robusta Standard,V60,Black Coffee Robusta Standard Saring
Black Coffee,Robusta Standard,Aeropress,Black Coffee Robusta Standard Saring
Black Coffee,Robusta Standard,Kalita,Black Coffee Robusta Standard Saring
Black Coffee,Robusta Standard,Vietnam Drip,Black Coffee Robusta Standard Saring
Black Coffee,Robusta Standard,French Press,Black Coffee Robusta Standard Saring
Black Coffee,Robusta Standard,BB Drip,Black Coffee Robusta Standard Saring
Black Coffee,Arabica Standard,"V60, SKM",Black Coffee Arabica Standard Saring
Black Tea,Regular,,Black Tea
Burger Meraci,Regular,,Burger Meraci
Burger Meraci (Gojek),Regular,,Burger Meraci (Gojek)
Cafe Latte,Flavor Banana,,Cafe Latte Banana
Cafe Latte,Flavor Caramel,,Cafe Latte Caramel
Cafe Latte,Flavor Hazelnut,,Cafe Latte Hazelnut
Cafe Latte,Regular Blend,,Cafe Latte Regular Blend
Cafe Latte,Regular Blend,Extra Espresso,Cafe Latte Regular Blend
Cafe Latte,Regular Premium,,Cafe Latte Regular Premium
Cafe Latte,Flavor Vanilla,,Cafe Latte Vanilla
Cafe Latte (Gojek),Banana,,Cafe Latte Banana (Gojek)
Cafe Latte (Gojek),Caramel,,Cafe Latte Caramel (Gojek)
Cafe Latte (Gojek),Hazelnut,,Cafe Latte Hazelnut (Gojek)
Cafe Latte (Gojek),Original,,Cafe Latte Regular Blend (Gojek)
Cafe Latte (Gojek),Vanilla,,Cafe Latte Vanilla (Gojek)
Cappucino,Regular Blend,,Cappucino Regular Blend
Cappucino,Regular Premium,,Cappucino Regular Premium
Cappucino (Gojek),Regular,,Cappucino (Gojek)
Chapress,Regular,,Chapress
Chicken Nugget,Regular,,Chicken Nugget
Choco Latte (Gojek),Regular,,Choco Latte (Gojek)
Choco Sundae,Regular,,Choco Sundae
Chocolate Eva,Regular,,Chocolate Eva
Cimi - Cimi,Regular,,Cimi-Cimi
Cimi cimi,Wortel,,Cimi-Cimi
Cimi cimi,Buah Naga,,Cimi-Cimi
Cimi cimi,Bayam,,Cimi-Cimi
Coffee Choco Sundae,Regular,,Coffee Choco Sundae
Cold Brew (Gojek),Regular,,Coldbrew Standard (Gojek)
Cold Brew Coffee,Nusantara Lokal,,Coldbrew Standard
Creme Brulee,Regular,,Creme Brulee Latte
Creme Brulee (Gojek),Regular,,Creme Brulee (Gojek)
Doppio,Regular Blend,,Doppio Regular Blend
Doppio,Regular Premium,,Doppio Regular Premium
Es Batu,Regular,,Es batu
Es Kocin - Kopi Susu Cincau (Gojek),Regular,,Es Kopi Cincau (Gojek)
Es Kopi Susu Meracikopi,Regular,,Es Kopi Susu Meracikopi
Espresso,Regular Blend,Meracikopi Roast,Espresso Regular Blend
Espresso,Regular Premium,,Espresso Regular Premium
Espresso Macchiato,Regular Blend,,Espresso Machiato Regular Blend
Espresso Macchiato,Regular Premium,,Espresso Machiato Regular Premium
Espresso Susu,Regular,,Espresso Susu
Espresso Susu (Gojek),Regular,,Espresso Susu (Gojek)
Flat White,Regular Blend,,Flat White Regular Blend
Flat White,Regular Premium,,Flat White Regular Premium
Frappe,Flavor Banana,,Frappe Banana
Frappe,Flavor Caramel,,Frappe Caramel
Frappe,Flavor Hazelnut,,Frappe Hazelnut
Frappe,Regular,,Frappe Reguler
Frappe,Flavor Vanilla,,Frappe Vanilla
Frappucino (Gojek),Banana,,Frappucino Banana (Gojek)
Frappucino (Gojek),Caramel,,Frappucino Caramel (Gojek)
Frappucino (Gojek),Hazelnut,,Frappucino Hazelnut (Gojek)
Frappucino (Gojek),Regular,,Frappucino Reguler (Gojek)
Frappucino (Gojek),Vanilla,,Frappucino Vanilla (Gojek)
Gayo Paya Tumpi Red Honey 150 Gr,Regular,,Gayo Paya Tumpi Red Honey 150 Gr
Green Fields Fresh Milk,Regular,,Fresh Milk 1L
Green Tea,Regular,,Green Tea
Hot Americano,Regular Blend,,Hot Americano Regular Blend
Hot Americano,Regular Premium,,Hot Americano Regular Premium
Hot Choco Latte,West Java,,Hot Choco Latte
Ice Americano,Regular,,Ice Americano
Ice Green Tea,Regular,,Ice Green Tea
Ice Kopi Cincau,Regular,,Es Kopi Cincau
Ice Thai Tea,Regular,,Ice Thai Tea Latte
Iced Americano (Gojek),Regular,,Iced Americano (Gojek)
Iced Black Coffee,Arabica Reguler,Tubruk,Iced Black Coffee Arabica Standard Tubruk
Iced Black Coffee,Arabica Reguler,V60,Iced Black Coffee Arabica Standard Saring
Iced Black Coffee,Arabica Reguler,Aeropress,Iced Black Coffee Arabica Standard Saring
Iced Black Coffee,Arabica Reguler,Kalita,Iced Black Coffee Arabica Standard Saring
Iced Black Coffee,Arabica Reguler,Vietnam Drip,Iced Black Coffee Arabica Standard Saring
Iced Black Coffee,Arabica Reguler,French Press,Iced Black Coffee Arabica Standard Saring
Iced Black Coffee,Arabica Reguler,BB Drip,Iced Black Coffee Arabica Standard Saring
Iced Black Coffee,Arabica Premium,Tubruk,Iced Black Coffee Arabica Premium Tubruk
Iced Black Coffee,Arabica Premium,V60,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,Aeropress,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,Kalita,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,Vietnam Drip,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,French Press,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,BB Drip,Iced Black Coffee Arabica Premium Saring
